"Nazwa";"Typ";"Miejscowosc";"Gmina";"Poczta";"KodPoczt";"Ulica";"NrDomu";"Telefon";"eMail";"KategUcz";"Publiczn";"Powiat";"Specyfika";"lon";"lat"
"I Katolickie Gimnazjum Stowarzyszenia Rodzin Katolickich Archidiecezji Katowickiej";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-026";"Kobylińskiego";"4";322552681;"sekretariat@klo.katowice.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.025974;50.2553349
"II Katolickie Gimnazjum w Katowicach Stowarzyszenia Rodzin Katolickich Archidiecezji Katowickiej";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-208";"Ścigały";"17";323529950;"kaespe@poczta.onet.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0391355;50.2650871
"Społeczne Gimnazjum OMEGA im. Górnośląskich Noblistów w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-862";"Gliwicka";"276";322545124;"sekretariat@omegaszkola.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.963708;50.272571
"NOVA Gimnazjum dla Dorosłych w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-096";"3 Maja";"26";322539060;"katowice@nova.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0186989;50.259381
"Gimnazjum dla Dorosłych SUKCES w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-092";"Mickiewicza";"22";327333703;"szkola@sukcesedukacja.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0185775;50.2608982
"Gimnazujm nr 1 w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-126";"Grażyńskiego";"17";322584825;"sekretariat@g1katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.017575;50.2668834
"Gimnazjum nr 2 z Oddziałami Dwujęzycznymi w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-052";"Głowackiego";"4";322517346;"gim2.kat@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.010275;50.252331
"Gimnazjum Nr 3";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-086";"Sokolska";"23";322596665;"kontakt@gim3kce.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0189092;50.2632005
"GIMNAZJUM NR 4";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-018";"Graniczna";"46";322553450;"dyrektorgim4@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0356421;50.2468689
"Gimnazjum nr 5 im. Pawła Stellera";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-017";"Graniczna";"27";327859701;"gimnazjum5kat@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0352629;50.2547576
"GIMNAZJUM NR 10 W KATOWICACH";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-216";"Słowiańska";"1";322599856;"sekretariat@gimnazjum10.nazwa.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0470067;50.2685094
"Gimnazjum Nr 9 im. Romualda Traugutta w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-111";"Krzyżowa";"12";322502752;"9gimnazjum@poczta.fm";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.007063;50.278388
"Gimnazjum nr 14";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-404";"Oswobodzenia";"47";322557163;"gimnazjum14katowice@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.090186;50.2473649
"GIMNAZJUM NR 11";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-318";"Deszczowa";"14";322568054;"gim11kat@interia.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.075236;50.2742239
"Gimnazjum nr 15";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-488";"Karliczka";"15";322560235;"gimn15kce@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.064356;50.2263559
"Gimnazjum nr 16 z Oddziałami Integracyjnymi";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-474";"Wojciecha";"9";322560698;"sekretariat_gim16@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.06309;50.22235
"Gimnajzum nr 18 z Oddziałami Integracyjnymi";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-750";"Jana Wantuły";"11";322029114;"g18kat@gazeta.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9946832;50.1885961
"Gimnazjum nr 19";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-642";"ul. Spółdzielczości";"21";322028354;"gim19@o2.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.987019;50.208943
"GIMNAZJUM NR 20";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-614";"GEN.JANKEGO";"160";322028212;"g20@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9756779;50.2091629
"Gimnazjum Nr 22 z Oddziałami Integracyjntmi";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-560";"HETMAŃSKA";"8";322527885;"sekretariat_g22@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.977173;50.23348
"Gimnazjum nr 23 z Oddziałami Integracyjnymi im. Ratowników Górskich";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-751";"Medyków";"27";322526223;"gimnazjum_23@poczta.fm";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9586699;50.223619
"Gimnazjum nr 24 z Językiem Nauczania Francuskim";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-039";"SIENKIEWICZA";"74";322563601;"sekretariat@kopernik.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0223708;50.2497774
"Gimnazjum Specjalne Nr 25";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-006";"Szkolna";"5";322539570;"sp7gim25@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0262609;50.25927
"Gimnazjum nr 26 Specjalne";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-208";"Ścigały";"17";322047671;"zespolszkolnr9@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0391355;50.2650871
"Gimnazjum Specjalne nr 28";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-852";"Gliwicka 148a";"";322541867;"zss11@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.988286;50.26625
"GIMNAZJUM SPECJALNE NR29 przy ZESPOLE NR12";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-718";"KOŁOBRZESKA";"8";322526773;"zss_nr12k@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.971203;50.2205899
"Gimnazjum nr 34";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-752";"Medyków";"16";322071675;"zss6@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.9506599;50.2238678
"Gimnazjum Specjalne Nr 30";"Gimnazjum";"Katowice";"M. Katowice";"Janów";"40-414";"zamkowa";"2a";322557195;"zssnr7@poczta.onet.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0852389;50.243331
"Gimnazjum nr 6";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"23";322540371;"sekretariat@zso7.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.972888;50.2592086
"Gimnazjum Integracyjne nr 36";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-870";"Bolesława Krzywoustego";"11";322543679;"sekretariat@zsi1katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9779357;50.2749077
"Gimnazjum dla Dorosłych EFFEKT w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-013";"Staromiejska";"6";322034175;"biuro@effekt.biz.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0227928;50.2586802
"BLUE Gimnazjum dla Dorosłych w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-097";"3 MAJA 6/8";"";327232811;"katowice@blue.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.020862;50.259357
"Gimnazjum Nr 35";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-592";"Mikołowska";"131";326096020;"sekretariat@zstio2.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.99599;50.244383
"Gimnazjum nr 31";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-126";"Grażyńskiego";"17";322584359;"biuro.nieslyszacy.katowice@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.017575;50.2668834
"Społeczne Gimnazjum im. Wojciecha Korfantego Stowarzyszenia Rodziców i Nauczycieli";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-507";"Francuska";"80";322551359;"korfantyslo@gmail.com";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.024954;50.2427784
"Gimnazjum Nr 21 z Oddziałami Dwujęzycznymi im. Adeli Korczyńskiej";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-710";"ZIELONOGÓRSKA";"23";322526292;"gimnazjum21@interia.eu";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9760889;50.2220279
"Gimnazjum nr 13";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-358";"Brynicy";"7";322569887;"gim13katowice@gazeta.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0954479;50.267658
"Gimnazjum Specjalne nr 27 w Katowicach";"Gimnazjum";"Katowice";"M. Katowice";"Katowice - Szopienice";"40-384";"Ks. Bpa. H. Bednorza";"13";322569067;"sekretariat@zss10.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";19.0915909;50.2631395
"Gimnazjum Nr 12";"Gimnazjum";"Katowice";"M. Katowice";"Katowice";"40-230";"Staszica";"2";322552084;"sekretariat@zs1.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0516486;50.2604655
"XI Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-326";"Techników";"11";322566372;"kcez.sekretariat@gmail.com";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0621175;50.2738107
"XVIII Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice - Piotrowice";"40-659";"Harcerzy Września 1939r.";"2";322028255;"technikum12@abramowski.edu.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9754693;50.2121413
"II Liceum Ogólnokształcąc z Oddziałami Dwujęzycznymi";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-052";"Głowackiego";"6";322517334;"biuro@nasza-szkola.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.009985;50.25179
"III Liceum im. Adama Mickiewicza";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-092";"Mickiewicza";"11";322589305;"liceum@mickiewicz.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.017657;50.261767
"IV Liceum Ogólnokształcące w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-165";"Katowicka";"54";322582696;"4liceum@maczek.edu.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.029529;50.2694599
"V Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-615";"Gen. Jankego";"65";322028489;"sekretariat@vlokatowice.eu";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9900925;50.214354
"VI Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-389";"LWOWSKA";"2";322568180;"katowice6lo@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0948117;50.2621377
"VII Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-709";"Panewnicka";"13";322526204;"sekret7lo@poczta.fm";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.971206;50.2258659
"VIII Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi im. Marii Skłodowskiej - Curie w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-079";"3 Maja";"42";322539432;"sekretariat@8lo.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.015148;50.2594825
"X Liceum Ogólnokształcące im. I. J. Paderewskiego w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-224";"K. Miarki";"6";322597759;"szkola@xlo.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0401347;50.2591908
"IX Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Henryka Sienkiewicza w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-881";"B. Chrobrego";"4";322546730;"sekretariat@zso3.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.9720759;50.2798359
"Prywatne Liceum Ogólnokształcące dla Dorosłych";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-035";"Jagiellońska";"18";322510204;"plokatowice@interia.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.022008;50.254433
"Liceum Ogólnokształcące dla Dorosłych PROGRES";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-092";"Mickiewicza";"20";322037592;"katowice@szkolaprogres.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0187299;50.2608414
"Niepubliczne Liceum Ogólnoksztacące dla Dorosłych AWANS w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-863";"Sokolska";"23";322298102;"ck-awans@tlen.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0189092;50.2632005
"Liceum Ogólnokształcące im. J. F. Kennedy'ego";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-743";"Studencka";"18";322525210;"sekretariat@kennedy.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9596128;50.2157856
"Liceum Ogólnokształcące Europejskie dla Dorosłych";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-098";"Młyńska";"3";327819898;"sekretariat@studiumeuropejskie.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.020829;50.2588993
"Liceum Ogólnokształcące dla Dorosłych Copernicus";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-096";"3-GO MAJA";"18";322048986;"katowice@copernicus.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0194399;50.2594361
"Proedukacja - Liceum Ogólnokształcące dla Dorosłych w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-009";"Warszawska";"3";323088282;"biuro@proedukacja.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.023749;50.258983
"Niepubliczne Ponadgimnazjalne Liceum Ogólnokształcące dla Dorosłych ŻAK";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-097";"3 Maja 33";"1";327818423;"katowice@zak.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.014409;50.259879
"Społeczne Liceum Ogólnokształcące im. Wojciecha Korfantego Stowarzyszenia Rodziców i Nauczycieli";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-507";"Francuska";"80";322551359;"korfanty-log@o2.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.024954;50.2427784
"AP Edukacja-Liceum Ogólnokształcące dla Dorosłych";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-095";"Stawowa";"11";326084688;"katowice@apedukacja.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.017998;50.260011
"NOVA Liceum Ogólnokształcące dla Dorosłych w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-096";"3 Maja";"26";322539060;"katowice@nova.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0186989;50.259381
"Zaoczne Liceum Ogólnokształcące dla Dorosłych COSINUS";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-003";"Rynek";"12";323520395;"katowice@cosinus.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0222069;50.258871
"OMEGA Liceum Ogólnokształcące dla Dorosłych";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-095";"Plac Szewczyka";"1";728930451;"katowice@omega-edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0175486;50.2600741
"Prywatne Liceum im. Melchiora Wańkowicza";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-832";"Witosa";"18";322549194;"sekretariat@nasze-szkoly.edu.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";18.9698177;50.2589031
"I Społeczne Liceum Ogólnokształcące im.S.Konarskiego STO";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-066";"Mikołowska";"26";322512344;"sekretariat@stoszkola.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0111579;50.254819
"Katolickie Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-026";"Kobylińskiego";"4";322552681;"sekretariat@klo.katowice.pl";"Dzieci lub młodzież";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.025974;50.2553349
"Liceum Ogólnokształcące SUKCES dla Dorosłych w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-092";"Mickiewicza";"22";327333703;"szkola@sukcesedukacja.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0185775;50.2608982
"BLUE Liceum Ogólnokształcące dla Dorosłych w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-097";"3 MAJA 6/8";"";327232811;"katowice@blue.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.020862;50.259357
"Liceum Ogólnokształcące dla Dorosłych Centrum Edukacji Siódemka2";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-096";"3 Maja";"22";323088777;"katowice@ce7.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.019119;50.259381
"Zaoczne Liceum Ogólnokształcace dla Dorosłych COSINUS PLUS";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-203";"Al. W. Roździeńskiego";"82";323520395;"katowice@cosinus.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0381545;50.2602235
"XIV Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-144";"Józefowska";"32";322582350;"xivlosucharski@wp.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0160139;50.2781049
"I Liceum Ogólnokształcące z Oddziałami Dwujęzycznymi";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-039";"SIENKIEWICZA";"74";322563601;"sekretariat@kopernik.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.0223708;50.2497774
"XIX Liceum Ogólnokształcące dla Dorosłych w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-097";"3 Maja";"42";322539978;"zsodd@op.pl";"Dorośli";"publiczna";"Powiat m. Katowice";"brak specyfiki";19.015148;50.2594825
"XXI Liceum Ogólnokształcące w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-752";"Medyków";"16";322071675;"zss6@op.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"specjalna";18.9506599;50.2238678
"Trzyletnie Liceum Ogólnokształcące dla Dorosłych ŻAK w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-097";"3 Maja";"33/1";327818423;"katowice@zak.edu.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.014409;50.259879
"Liceum Ogólnokształcące dla Dorosłych EFFEKT w Katowicach";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-013";"Staromiejska";"6";322034175;"biuro@effekt.biz.pl";"Dorośli";"niepubliczna o uprawnieniach szkoły publicznej";"Powiat m. Katowice";"brak specyfiki";19.0227928;50.2586802
"XVI Liceum Ogólnokształcące";"Liceum ogólnokształcące";"Katowice";"M. Katowice";"Katowice";"40-592";"Mikołowska";"131";326096020;"sekretariat@zstio2.katowice.pl";"Dzieci lub młodzież";"publiczna";"Powiat m. Katowice";"brak specyfiki";18.99599;50.244383
